"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"APP"	"ABCA7"	"AARS1"	"ABCB7"
"CAPN1"	"ACBD6"	"ABCB7"	"ADGRV1"
"CAPNS1"	"ADH1C"	"ACTL6B"	"AMACR"
"CAPNS2"	"AFG3L2"	"ADNP"	"APOL2"
"CDK5"	"ALS2"	"ADSL"	"APOL4"
"CDK5R1"	"AOPEP"	"AHDC1"	"ARSA"
"GSK3B"	"AP5Z1"	"AKT1"	"ARSG"
"PPP2CA"	"APOE"	"ALAD"	"ARVCF"
"AASDHPPT"	"APP"	"ALDH5A1"	"ATG7"
"ABAT"	"ARVCF"	"ALG13"	"ATP2A2"
"ABCB1"	"ATN1"	"ALG14"	"CAT"
"ABCC4"	"ATP13A2"	"ANKRD11"	"CDH23"
"ABCE1"	"ATP1A3"	"AP3B2"	"CEP78"
"ABHD14A"	"ATP6AP2"	"ARCN1"	"CHI3L1"
"ABHD6"	"ATP7B"	"ARL6"	"CHRNA7"
"ACAD8"	"ATXN2"	"ARNT2"	"CIB2"
"ACAT1"	"ATXN3"	"ARVCF"	"CLRN1"
"ACHE"	"ATXN8OS"	"ASCC3"	"CNTNAP2"
"ACO2"	"C19orf12"	"ASXL3"	"COMT"
"ACOT13"	"C9orf72"	"ATP1A2"	"DAOA"
"ACOT2"	"CAT"	"ATP1A3"	"DNAJC13"
"ACOT7"	"CBS"	"ATP6V1A"	"DNMT3A"
"ACP1"	"CHCHD10"	"ATRX"	"DRD3"
"ACSL3"	"CHCHD2"	"BAZ1B"	"DSG4"
"ACTL6B"	"CHMP2B"	"BBIP1"	"EIF4G1"
"ACTN1"	"CLN3"	"BBS1"	"ESPN"
"ACTR10"	"COASY"	"BBS10"	"FLI1"
"ACTR1A"	"COMT"	"BBS12"	"FTSJ1"
"ACTR1B"	"COQ2"	"BBS2"	"GBA1"
"ACTR2"	"CP"	"BBS4"	"GIGYF2"
"ACTR3"	"CSF1R"	"BBS5"	"GJA5"
"ACTR3B"	"CYP27A1"	"BBS7"	"GJA8"
"ACYP2"	"DCTN1"	"BBS9"	"GP1BB"
"ADAM17"	"DNAJC12"	"BCKDK"	"HARS1"
"ADAM23"	"DNAJC13"	"BRD4"	"HIRA"
"ADCY2"	"DNAJC5"	"BUD23"	"HTR2A"
"ADCY9"	"DNAJC6"	"CACNA1A"	"JMJD1C"
"ADGRB2"	"EIF2AK2"	"CACNA1B"	"KRT81"
"ADGRB3"	"EIF4G1"	"CACNA1C"	"KRT83"
"ADGRL2"	"FBXO7"	"CACNA2D1"	"KRT86"
"ADGRL3"	"FMR1"	"CASZ1"	"LRRK2"
"ADH5"	"FTL"	"CDK13"	"MED12"
"ADI1"	"FUS"	"CDK19"	"MSTO1"
"ADIPOR1"	"GABRA1"	"CELF2"	"MT-TE"
"ADK"	"GABRG2"	"CEP19"	"MT-TS2"
"ADORA2B"	"GBA1"	"CEP290"	"MTHFR"
"AGAP2"	"GCH1"	"CFAP418"	"MYO7A"
"AHSA1"	"GIGYF2"	"CHD1"	"NIPA1"
"AK5"	"GP1BB"	"CHD7"	"NIPA2"
"AKAP11"	"GRN"	"CHD8"	"NKX2-1"
"AKAP12"	"HIRA"	"CHRNA7"	"PCDH15"
"AKTIP"	"HTRA2"	"CLIP2"	"PDZD7"
"ALDH2"	"IMPDH2"	"CLTC"	"PRODH"
"ALDH5A1"	"JAM2"	"CNKSR2"	"PSAP"
"ALDOC"	"JMJD1C"	"CNTNAP2"	"RBM12"
"ALG8"	"JPH3"	"COMT"	"RREB1"
"ALOX5AP"	"KCNN2"	"CREBBP"	"RTN4R"
"AMFR"	"KIF5A"	"CYFIP2"	"SEC24C"
"AMY1A"	"LRRK2"	"CYP27A1"	"SETD1A"
"ANAPC13"	"LYST"	"DALRD3"	"SHANK3"
"ANK3"	"MAPT"	"DEAF1"	"SLC12A2"
"ANO3"	"MECP2"	"DHCR7"	"SNCA"
"ANOS1"	"MPO"	"DHDDS"	"SYN2"
"ANXA7"	"MPV17"	"DICER1"	"TBX1"
"AP2B1"	"MT-TT"	"DNAJC30"	"TPM2"
"AP2M1"	"MYORG"	"DNM1"	"TUBG1"
"AP2S1"	"NAA60"	"DOCK7"	"UFD1"
"AP3B2"	"NOS3"	"DPAGT1"	"UPF3B"
"AP3S1"	"NOTCH3"	"DPYD"	"USH1C"
"AP4S1"	"NR4A2"	"DPYS"	"USH1G"
"APBA2"	"PANK2"	"DYRK1A"	"USH2A"
"APC"	"PARK7"	"EEF1A2"	"VPS35"
"APEX1"	"PCBD1"	"EHMT1"	"WFS1"
"APLP2"	"PCDH19"	"EIF4A2"	"WHRN"
"ARCN1"	"PDE10A"	"EIF4H"	"ZBTB20"
"ARF1"	"PDGFB"	"ELN"	"ZDHHC9"
"ARF3"	"PDGFRB"	"EP300"	"ABCB7"
"ARF4"	"PINK1"	"ERI1"	"ADGRV1"
"ARF5"	"PLA2G6"	"EXT2"	"AMACR"
"ARFGEF2"	"PLAU"	"FBXO28"	"APOL2"
"ARHGEF3"	"POLG"	"FGF12"	"APOL4"
"ARHGEF4"	"PPP2R2B"	"FGFR1"	"ARSA"
"ARHGEF9"	"PRKAR1B"	"FKBP6"	"ARSG"
"ARIH2"	"PRKN"	"FLCN"	"ARVCF"
"ARL1"	"PRKRA"	"FLG"	"ATG7"
"ARL4C"	"PRNP"	"FMR1"	"ATP2A2"
"ARMCX1"	"PSAP"	"FOXG1"	"CAT"
"ARNT2"	"PSEN1"	"FTCD"	"CDH23"
"ARPC1A"	"PSEN2"	"FTSJ1"	"CEP78"
"ARPC2"	"PTPA"	"FZR1"	"CHI3L1"
"ARPC3"	"PTRHD1"	"GABBR2"	"CHRNA7"
"ARPC5"	"PTS"	"GABRA2"	"CIB2"
"ARPC5L"	"RAB39B"	"GABRA5"	"CLRN1"
"ARPP19"	"RREB1"	"GABRB2"	"CNTNAP2"
"ASAH1"	"SCARB2"	"GABRD"	"COMT"
"ASF1A"	"SCN1A"	"GABRG2"	"DAOA"
"ASH2L"	"SCN1B"	"GAMT"	"DNAJC13"
"ASIC2"	"SCN2A"	"GATM"	"DNMT3A"
"ASMTL"	"SCN9A"	"GJA5"	"DRD3"
"ASPH"	"SEC24C"	"GJA8"	"DSG4"
"ASTN1"	"SIGMAR1"	"GLRA2"	"EIF4G1"
"ATIC"	"SLC18A2"	"GNB1"	"ESPN"
"ATP13A2"	"SLC20A2"	"GP1BB"	"FLI1"
"ATP1A2"	"SLC30A10"	"GRIA3"	"FTSJ1"
"ATP1B1"	"SLC39A14"	"GRIN2D"	"GBA1"
"ATP2A2"	"SLC6A3"	"GTF2I"	"GIGYF2"
